Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AionOverdose58.Data\AionOverdose58.Data.csproj,File,AionOverdose58.Data\AionOverdose58.Data.csproj,,,Microsoft.EntityFrameworkCore.Design 9.0.4,,,,,"Microsoft.EntityFrameworkCore.Design, 9.0.4  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AionOverdose58.Data\AionOverdose58.Data.csproj,File,AionOverdose58.Data\AionOverdose58.Data.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 9.0.4,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 9.0.4  Recommendation:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AionOverdose58.Data\AionOverdose58.Data.csproj,File,AionOverdose58.Data\AionOverdose58.Data.csproj,,,Microsoft.EntityFrameworkCore.Tools 9.0.4,,,,,"Microsoft.EntityFrameworkCore.Tools, 9.0.4  Recommendation:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.5"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,AionOverdose58.Data\AionOverdose58.Data.csproj,File,AionOverdose58.Data\AionOverdose58.Data.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,AionOverdose58.Shared\AionOverdose58.Shared.csproj,File,AionOverdose58.Shared\AionOverdose58.Shared.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AionOverdose58.Web\AionOverdose58.Web.Client\AionOverdose58.Web.Client.csproj,File,AionOverdose58.Web\AionOverdose58.Web.Client\AionOverdose58.Web.Client.csproj,,,Microsoft.AspNetCore.Components.WebAssembly 9.0.14,,,,,"Microsoft.AspNetCore.Components.WebAssembly, 9.0.14  Recommendation:  Remove Microsoft.AspNetCore.Components.WebAssembly, and replace with new package Microsoft.AspNetCore.Components.WebAssembly 10.0.5"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,AionOverdose58.Web\AionOverdose58.Web.Client\AionOverdose58.Web.Client.csproj,File,AionOverdose58.Web\AionOverdose58.Web.Client\AionOverdose58.Web.Client.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AionOverdose58.Web\AionOverdose58.Web\AionOverdose58.Web.csproj,File,AionOverdose58.Web\AionOverdose58.Web\AionOverdose58.Web.csproj,,,Microsoft.EntityFrameworkCore.Design 9.0.4,,,,,"Microsoft.EntityFrameworkCore.Design, 9.0.4  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AionOverdose58.Web\AionOverdose58.Web\AionOverdose58.Web.csproj,File,AionOverdose58.Web\AionOverdose58.Web\AionOverdose58.Web.csproj,,,Microsoft.AspNetCore.Components.WebAssembly.Server 9.0.14,,,,,"Microsoft.AspNetCore.Components.WebAssembly.Server, 9.0.14  Recommendation:  Remove Microsoft.AspNetCore.Components.WebAssembly.Server, and replace with new package Microsoft.AspNetCore.Components.WebAssembly.Server 10.0.5"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,AionOverdose58.Web\AionOverdose58.Web\AionOverdose58.Web.csproj,File,AionOverdose58.Web\AionOverdose58.Web\AionOverdose58.Web.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AionOverdose58.Web\AionOverdose58.Web\AionOverdose58.Web.csproj,File,AionOverdose58.Web\AionOverdose58.Web\Program.cs,33,4,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String,System.Boolean)",,,,,"app.UseExceptionHandler(""/Error"", createScopeForErrors: true);"
